,,,,,
,,,,,
,TIPO CONSULTA,MES,CANAL ,CANTIDAD,PORCENTAJE
,DNI Mayor,JUNIO,CORREO,540,10.78 %
,DNI Menor,JUNIO,CORREO,88,1.76 %
,DNI Electrónico,JUNIO,CORREO,217,4.33 %
,Certificaciones y Habilitaciones,JUNIO,CORREO,151,3.02 %
,Registros Civiles,JUNIO,CORREO,724,14.46 %
,Proceso Electoral,JUNIO,CORREO,1,0.02 %
,Certificación Digital,JUNIO,CORREO,12,0.24 %
,Archivo Registral,JUNIO,CORREO,42,0.84 %
,Agencias/Horarios/Anexos,JUNIO,CORREO,46,0.92 %
,Citas Especiales,JUNIO,CORREO,427,8.53 %
,Incidencias/Sugerencias,JUNIO,CORREO,256,5.11 %
,Servicios en Línea,JUNIO,CORREO,22,0.44 %
,Estado de Trámite,JUNIO,CORREO,"1,710",34.15 %
,Otros,JUNIO,CORREO,772,15.42 %
,DNI Mayor,JUNIO,REDES,778,16.37 %
,DNI Menor,JUNIO,REDES,287,6.04 %
,DNI Electrónico,JUNIO,REDES,470,9.89 %
,Certificaciones y Habilitaciones,JUNIO,REDES,27,0.57 %
,Registros Civiles,JUNIO,REDES,760,15.99 %
,Proceso Electoral,JUNIO,REDES,1,0.02 %
,Certificación Digital,JUNIO,REDES,13,0.27 %
,Archivo Registral,JUNIO,REDES,10,0.21 %
,Agencias/Horarios/Anexos,JUNIO,REDES,538,11.32 %
,Citas Especiales,JUNIO,REDES,31,0.65 %
,Incidencias/Sugerencias,JUNIO,REDES,338,7.11 %
,Estado de Trámite,JUNIO,REDES,695,14.62 %
,Otros,JUNIO,REDES,806,16.95 %
,DNI Mayor,JUNIO,CHAT,79,3.26 %
,DNI Menor,JUNIO,CHAT,11,0.45 %
,DNI Electrónico,JUNIO,CHAT,92,3.79 %
,Certificaciones y Habilitaciones,JUNIO,CHAT,49,2.02 %
,Registros Civiles,JUNIO,CHAT,"1,441",59.40 %
,Proceso Electoral,JUNIO,CHAT,3,0.12 %
,Certificación Digital,JUNIO,CHAT,10,0.41 %
,Archivo Registral,JUNIO,CHAT,13,0.54 %
,Agencias/Horarios/Anexos,JUNIO,CHAT,10,0.41 %
,Citas Especiales,JUNIO,CHAT,3,0.12 %
,Incidencias/Sugerencias,JUNIO,CHAT,127,5.23 %
